"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Lanceiro Remendado","Cobbled Lancer",1,NM,PT,U,U,,52,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Matadora de Vampiros","Vampire Slayer",1,NM,PT,C,W,,43,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Monstruosidade da Luz Pavorosa","Dreadlight Monstrosity",1,NM,PT,C,U,,57,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,Morcego-correio,"Courier Bat",1,NM,PT,C,B,,102,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Postura Valente","Valorous Stance",1,NM,PT,U,W,,42,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,Sincopar,Syncopate,1,NM,PT,C,U,,83,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Skaab da Aberracao Celeste","Skywarp Skaab",1,NM,PT,C,U,,78,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Tecela de Flores","Weaver of Blossoms",1,NM,PT,C,G,,226,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Thalia, Guardia de Thraben","Thalia, Guardian of Thraben",1,NM,PT,R,W,,38,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Thalia, Guardia de Thraben","Thalia, Guardian of Thraben",1,NM,PT,R,W,Foil,38,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Velho Rutstein","Old Rutstein",1,NM,PT,R,M,,244,
"Innistrad: Voto Carmesim (Commander)","Innistrad: Crimson Vow (Commander)",voc,"Pesadelo da Forca Trovejante","Thundering Mightmare",1,NM,PT,R,G,,37,
"Innistrad: Voto Carmesim (Commander)","Innistrad: Crimson Vow (Commander)",voc,"Serafim Guardia dos Alentos","Breathkeeper Seraph",1,NM,JP,R,W,,31,
"Innistrad: Voto Carmesim (Commander)","Innistrad: Crimson Vow (Commander)",voc,"Serafim Guardia dos Alentos","Breathkeeper Seraph",1,NM,PT,R,W,,31,
"Innistrad: Voto Carmesim (Commander)","Innistrad: Crimson Vow (Commander)",voc,"Sinete Arcano","Arcane Signet",1,NM,PT,C,C,,159,
"Innistrad: Voto Carmesim (Variantes)","Innistrad: Crimson Vow (Variants)",vvow,"Celebrante Profano","Unholy Officiant",1,NM,PT,C,W,,286,
"Innistrad: Voto Carmesim (Variantes)","Innistrad: Crimson Vow (Variants)",vvow,"Chandra, Vestida para Matar","Chandra, Dressed to Kill",1,NM,EN,M,R,,279,
"Innistrad: Voto Carmesim (Variantes)","Innistrad: Crimson Vow (Variants)",vvow,"Coletor do Dizimo de Sangue","Bloodtithe Harvester",1,NM,PT,U,M,,310,
"Innistrad: Voto Carmesim (Variantes)","Innistrad: Crimson Vow (Variants)",vvow,"Convidada Beligerante","Belligerent Guest",1,NM,PT,C,R,,301,
,Ixalan,xln,"Guarda de Honra do Tocatli","Tocatli Honor Guard",2,NM,EN,R,W,,42,
,Ixalan,xln,"Vanguarda de Adanto","Adanto Vanguard",4,NM,EN,U,W,,1,
,"Jumpstart 2022",j22,"Valquiria Anunciadora","Valkyrie Harbinger",1,NM,EN,R,W,,261,
,"Jumpstart 2022",j22,"Valquiria Justa","Righteous Valkyrie",1,NM,EN,R,W,,234,
,"Jumpstart 2022",j22,"Valquiria Justa","Righteous Valkyrie",1,NM,PT,R,W,Promo,234,
,Kaladesh,kld,"Autoridade dos Consules","Authority of the Consuls",1,NM,PT,R,W,,5,
,Kaladesh,kld,"Chandra, Pirogenia","Chandra, Pyrogenius",1,NM,PT,M,R,Foil,265,
,Kaldheim,khm,"Aspirante de Starnheim","Starnheim Aspirant",1,NM,EN,U,W,,380,
,Kaldheim,khm,"Dragao da Ponte Dourada","Goldspan Dragon",3,NM,PT,M,R,,139,
,Kaldheim,khm,"Elixir do Cosmos","Cosmos Elixir",1,NM,EN,R,C,Foil,237,
,Kaldheim,khm,"Mordida Gelida","Frost Bite",4,NM,PT,C,R,,138,
,Kaldheim,khm,"Refugio sem Rosto","Faceless Haven",4,NM,EN,R,L,,255,
"Kamigawa: Dinastia Neon","Kamigawa: Neon Dynasty",neo,"Fabula do Quebrador de Espelhos","Fable of the Mirror-Breaker",1,NM,PT,R,R,,141,
"Kamigawa: Dinastia Neon","Kamigawa: Neon Dynasty",neo,"Kumano Enfrenta Kakkazan","Kumano Faces Kakkazan",4,NM,PT,U,R,,152,
"Kamigawa: Dinastia Neon","Kamigawa: Neon Dynasty",neo,"Sintetizador Experimental","Experimental Synthesizer",4,NM,EN,C,R,,138,
"Lealdade em Ravnica","Ravnica Allegiance",rna,"Dizimo Sufocante","Smothering Tithe",1,NM,PT,R,W,,22,
"Lealdade em Ravnica","Ravnica Allegiance",rna,"Iluminar o Palco","Light Up the Stage",1,NM,PT,U,R,,107,
"Lealdade em Ravnica","Ravnica Allegiance",rna,"Iluminar o Palco","Light Up the Stage",1,NM,EN,U,R,,107,
"Lealdade em Ravnica","Ravnica Allegiance",rna,"Iluminar o Palco","Light Up the Stage",1,NM,PT,U,R,,107,
"Lua Arcana","Eldritch Moon",emn,"Gisela, a Lamina Partida","Gisela, the Broken Blade",1,NM,PT,M,W,,28,
"Magic 2011","Magic 2011",m11,"Anjo de Platina","Platinum Angel",1,NM,PT,M,C,,212,
"Magic 2011","Magic 2011",m11,Raio,"Lightning Bolt",2,NM,EN,C,R,,149,
"Magic 2012","Magic 2012",m12,Abolidor-Mor,"Grand Abolisher",1,NM,EN,R,W,,19,
"Magic 2013","Magic 2013",m13,"Dragao Adormecido","Slumbering Dragon",1,NM,PT,R,R,,148,
"Magic 2014","Magic 2014",m14,"Arcanjo de Thune","Archangel of Thune",1,NM,PT,M,W,,5,
"Magic 2014","Magic 2014",m14,"Porta dos Destinos","Door of Destinies",1,NM,TK,R,C,,208,
"Magic 2014","Magic 2014",m14,Silencio,Silence,1,NM,PT,R,W,,35,
,"Magic 2015",m15,"Dragao de Cerco","Siege Dragon",1,NM,PT,R,R,,162,
"Magic Origens","Magic Origins",ori,"Arcanjo dos Dizimos","Archangel of Tithes",1,NM,PT,M,W,,4,
"Marcha das Máquinas","March of the Machines",mom,"Aticar as Chamas","Stoke the Flames",1,NM,PT,U,R,,166,
"Marcha das Máquinas: Commander","March of the Machines: Commander",moc,"Anjo Estilhacado","Shattered Angel",1,NM,PT,U,W,,206,
,"Marvel Super Heroes Commander",msc,"Elmo Multiplicador","Helm of the Host",1,NM,EN,R,C,,200,
,"Marvel Super Heroes Commander",msc,"Espadas em Arados","Swords to Plowshares",1,NM,EN,U,W,,143,
,"Marvel Super Heroes Commander",msc,"Porta dos Destinos","Door of Destinies",1,NM,EN,R,C,,198,
,"Marvel Super Heroes Commander",msc,"Presente Generoso","Generous Gift",1,NM,EN,U,W,,133,
Mirrodin,Mirrodin,mi,"Grande Fornalha","Great Furnace",4,NM,EN,C,L,,282,
Mirrodin,Mirrodin,mi,"Myr de Ferro","Iron Myr",1,NM,PT,C,C,,187,
,"Modern Horizons 2",mh2,"Fabrica de Mishra","Mishra's Factory",1,NM,EN,U,L,,302,
,"Modern Horizons 2 (Sketch)",skmh2,"Sentinela de Esper","Esper Sentinel",1,NM,PT,R,W,,328,
"Modern Horizons 3","Modern Horizons 3",mh3,"Incubador de Urza","Urza's Incubator",1,NM,EN,R,C,Foil,297,
"Modern Horizons 3","Modern Horizons 3",mh3,"Ornato de Perola","Pearl Medallion",1,NM,EN,R,C,,294,
"Modern Horizons 3","Modern Horizons 3",mh3,"Ornato de Rubi","Ruby Medallion",1,NM,EN,R,C,,295,
"Modern Horizons 3","Modern Horizons 3",mh3,"Pedra de Energia Gasta","Worn Powerstone",1,NM,EN,U,C,,298,
"Modern Horizons 3 Commander","Modern Horizons 3 Commander",m3c,"Quebra-cara Profissional","Professional Face-Breaker",1,NM,EN,R,R,,216,
,"Modern Masters 2015",mm2,"Reduzir a Cacos","Smash to Smithereens",3,NM,EN,C,R,,124,
Nêmesis,Nemesis,ne,"Portal de Belbe","Belbe's Portal",1,NM,EN,R,C,,127,
"Noctumbra: A Casa dos Horrores","Duskmourn: House of Horror",dsk,,"Clockwork Percussionist",4,NM,EN,C,R,,130,
"Noctumbra: A Casa dos Horrores","Duskmourn: House of Horror",dsk,,"Leyline of Resonance",4,NM,EN,R,R,,143,
"Noctumbra: A Casa dos Horrores","Duskmourn: House of Horror",dsk,,"Painter's Studio // Defaced Gallery",3,NM,EN,U,R,,147,
"Noctumbra: A Casa dos Horrores","Duskmourn: House of Horror",dsk,,"Screaming Nemesis",3,NM,EN,M,R,,157,
"Noctumbra: A Casa dos Horrores Commander","Duskmourn: House of Horror Commander",dsc,"Ravina de Shiv","Shivan Gorge",1,NM,EN,R,L,,297,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"A Batalha de Beiragua","The Battle of Bywater",1,NM,PT,R,W,,2,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Alvorecer de Uma Nova Era","Dawn of a New Age",1,NM,PT,M,W,,5,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Anduril, Chama do Oeste","Anduril, Flame of the West",1,NM,EN,M,C,Foil,236,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Anel de Bilbo","Bilbo's Ring",1,NM,PT,R,C,,298,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Apaziguamento de Smeagol","Soothing of Smeagol",1,NM,EN,C,U,,70,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Aragorn e Arwen, Casados","Aragorn and Arwen, Wed",1,NM,PT,M,M,Foil,287,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Aragorn, Lider da Sociedade","Aragorn, Company Leader",1,NM,PT,R,M,,191,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Artimanhas de Saruman","Saruman's Trickery",1,NM,EN,U,U,,68,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Arwen, Rainha Mortal","Arwen, Mortal Queen",1,NM,PT,M,M,"Foil, Pre Release",193,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Atalho para os Cogumelos","Shortcut to Mushrooms",1,NM,EN,U,G,,187,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Bacia de Elixir de Ent","Ent-Draught Basin",1,NM,PT,U,C,,238,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Banir de Edoras","Banish from Edoras",2,NM,PT,C,W,,1,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Bill, o Ponei","Bill the Pony",1,NM,PT,U,W,,3,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Caes de Guarda dos Cogumelos","Mushroom Watchdogs",1,NM,PT,C,G,,180,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Cancao de Bombadil","Bombadil's Song",2,NM,PTEN,C,G,,154,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Capita de Umbar","Captain of Umbar",1,NM,EN,C,U,,45,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Carrapicho, Estalajadeiro de Bree","Butterbur, Bree Innkeeper",1,NM,PT,U,M,,197,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Cavaleiro da Marca Oriental","East-Mark Cavalier",3,NM,PT,C,W,,9,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Ceifeira Tuk","Took Reaper",1,NM,PT,C,W,Foil,35,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Colocar o Anel","Slip On the Ring",1,NM,EN,C,W,,31,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Condestavel do Condado","Shire Shirriff",1,NM,PT,U,W,,30,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Elfos do Encontro Fortuito","Chance-Met Elves",1,NM,EN,C,G,,157,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Envelope Herdado","Inherited Envelope",1,NM,EN,C,C,,242,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Envelope Herdado","Inherited Envelope",1,NM,PT,C,C,,242,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Eomer da Marca dos Cavaleiros","Eomer of the Riddermark",2,NM,PT,U,R,,121,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Erkenbrand, Senhor do Folde Ocidental","Erkenbrand, Lord of Westfold",2,NM,PT,U,R,,123,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Estafeta de Gondor","Errand-Rider of Gondor",1,NM,PT,C,W,,11,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Faramir, Comandante de Campo","Faramir, Field Commander",1,NM,PT,U,W,,14,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Ferroada do Hobbit","Hobbit's Sting",1,NM,PT,C,W,,20,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Fim da Querela","Quarrel's End",2,NM,PT,C,R,,141,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Florescimento da Arvore Branca","Flowering of the White Tree",1,NM,EN,R,W,,15,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Florescimento da Arvore Branca","Flowering of the White Tree",1,NM,PT,R,W,Foil,15,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Fogos do Monte da Perdicao","Fires of Mount Doom",1,NM,PT,R,R,,294,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Frodo Bolseiro","Frodo Baggins",1,NM,EN,U,M,,205,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Frodo, Heroi Determinado","Frodo, Determined Hero",1,NM,PT,R,W,,289,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Furia de Gimli","Gimli's Fury",1,NM,PT,C,R,,131,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Galadriel de Lothlorien","Galadriel of Lothlorien",1,NM,PT,R,M,"Foil, Pre Release",206,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Galadriel, a Generosa","Galadriel, Gift-Giver",1,NM,PT,R,G,,296,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Gandalf, Cavaleiro Branco","Gandalf, White Rider",1,NM,PT,R,W,,290,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Gimli, Contador de Abates","Gimli, Counter of Kills",1,NM,EN,U,R,,129,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Ginete do Folde Ocidental","Westfold Rider",2,NM,PT,C,W,,37,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Golpear o Imortal","Smite the Deathless",1,NM,PT,C,R,,148,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Gorbag de Minas Morgul","Gorbag of Minas Morgul",1,NM,EN,U,B,,86,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Grande Salao da Cidadela","Great Hall of the Citadel",2,NM,PT,C,L,,254,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Grishnakh, Instigador Ousado","Grishnakh, Brash Instigator",1,NM,PT,U,R,,134,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Inscricao Ardente","Fiery Inscription",1,NM,EN,U,R,Foil,126,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"La e De Volta Outra Vez","There and Back Again",1,NM,PT,R,R,,151,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Lamina dos Dunedain","Dunedain Blade",3,NM,PT,C,W,,6,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Lamina dos Tumulos",Barrow-Blade,1,NM,EN,U,C,,237,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Lancar ao Fogo","Cast into the Fire",2,NM,PT,C,R,,118,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Lanceiro Rohirrim","Rohirrim Lancer",3,NM,PT,C,R,,146,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Lobelia Sacola-Bolseiro","Lobelia Sackville-Baggins",1,NM,EN,R,B,,93,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Meriadoc Brandebuque","Meriadoc Brandybuck",1,NM,PTEN,U,G,Foil,177,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Minas de Moria","Mines of Moria",1,NM,PT,R,L,,257,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Minas Tirith","Minas Tirith",1,NM,PT,R,L,,256,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Monte da Perdicao","Mount Doom",1,NM,EN,M,L,,258,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Mordida de Gollum","Gollum's Bite",1,NM,EN,U,B,,85,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Tormento de Gollum","The Torment of Gollum",1,NM,EN,C,B,,110,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pedra de Erech","Stone of Erech",1,NM,PT,U,C,,251,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Perdido para as Lendas","Lost to Legend",2,NM,PT,U,W,,22,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Porrete Improvisado","Improvised Club",2,NM,PT,C,R,,137,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Protetor de Gondor","Protector of Gondor",2,NM,PT,C,W,,25,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Queda Amarga","Bitter Downfall",1,NM,EN,U,B,,77,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Reagrupar no Forte da Trombeta","Rally at the Hornburg",2,NM,PT,C,R,,142,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Rohirrim Incansavel","Relentless Rohirrim",1,NM,PT,C,R,,144,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Rosa Villa da Alameda Sul","Rosie Cotton of South Lane",1,NM,PT,U,W,,27,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Samwise Gamgi","Samwise Gamgee",1,NM,PT,R,M,,222,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Samwise, o Destemido","Samwise the Stouthearted",1,NM,PT,U,W,,28,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Saqueador de Moria","Moria Marauder",2,NM,PT,R,R,,138,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Saradoc, Mestre da Terra dos Buques","Saradoc, Master of Buckland",1,NM,EN,R,W,,282,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Sauron, O Olho Sem Palpebra","Sauron, the Lidless Eye",1,NM,PT,M,M,Foil,288,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Shagrat, Carregador de Espolios","Shagrat, Loot Bearer",2,NM,EN,R,M,,228,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Soldado da Hoste Cinzenta","Soldier of the Grey Host",1,NM,PT,C,W,,32,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Terraco do Condado","Shire Terrace",4,NM,PT,C,L,,261,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Theoden, Rei de Rohan","Theoden, King of Rohan",2,NM,EN,U,M,,233,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Ticao do Caminheiro","Ranger's Firebrand",1,NM,EN,U,R,,143,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Trombeta da Marca","Horn of the Mark",1,NM,EN,R,C,,241,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Trombeta de Gondor","Horn of Gondor",1,NM,PT,R,C,,240,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Trombeta de Gondor","Horn of Gondor",1,NM,EN,R,C,,240,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Ugluk da Mao Branca","Ugluk of the White Hand",1,NM,EN,U,M,,235,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Voce Nao Pode Passar!","You Cannot Pass!",3,NM,PT,U,W,,38,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands)",blltr,Valfenda,Rivendell,1,NM,EN,R,L,,344,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,,Barad-dur,1,NM,PT,R,L,,425,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Boromir, Guardiao da Torre","Boromir, Warden of the Tower",1,NM,PT,R,W,,407,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Bravura de Pippin","Pippin's Bravery",1,NM,EN,C,G,,414,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Muitas Despedidas","Many Partings",1,NM,PT,C,G,,445,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Nascer do Dia","Rising of the Day",1,NM,EN,U,R,,427,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,Olifante,Oliphaunt,1,NM,EN,C,R,,426,
"O Senhor dos Anéis: Contos da Terra Média (Promo)","Lord of the Rings: Tales of Middle-Earth (Promo)",pltr,"Frodo Bolseiro","Frodo Baggins",1,NM,PT,U,M,"Foil, Pre Release",404,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Peregrin Tuk","Peregrin Took",1,NM,EN,U,G,,315,
"Os Fora da Lei de Encruzilhada do Trovão","Outlaws of Thunder Junction",otj,"Exibido Tirofino","Slickshot Show-Off",1,NM,PT,R,R,,146,
"Os Fora da Lei de Encruzilhada do Trovão","Outlaws of Thunder Junction",otj,"Exibido Tirofino","Slickshot Show-Off",3,NM,EN,R,R,,146,
"Os Fora da Lei de Encruzilhada do Trovão","Outlaws of Thunder Junction",otj,"Paramedico Fora da Lei","Outlaw Medic",1,NM,PT,C,W,,23,
"Os Fora da Lei de Encruzilhada do Trovão","Outlaws of Thunder Junction",otj,"Terror dos Picos","Terror of the Peaks",1,NM,EN,M,R,,149,
"Os Fora da Lei de Encruzilhada do Trovão","Outlaws of Thunder Junction",otj,"Tumulto Demoniaco","Demonic Ruckus",1,NM,PT,U,R,,120,
"Phyrexia: Tudo será um","Phyrexia: All will be one",one,"Demolicao Animada","Gleeful Demolition",2,NM,EN,U,R,,134,
"Phyrexia: Tudo será um","Phyrexia: All will be one",one,"Planador Asa-de-dragao","Dragonwing Glider",1,NM,EN,R,R,,128,
"Phyrexia: Tudo será um Commander","Phyrexia: All will be one Commander",onc,"Castelo de Brasoreth","Castle Embereth",2,NM,EN,R,L,,150,
"Portões Violados",Gatecrash,gtc,"Obediencia Cega","Blind Obedience",1,NM,PT,R,W,,6,
"Portões Violados",Gatecrash,gtc,"Tirano Dragao Averneo","Hellkite Tyrant",1,NM,PT,M,R,,94,
,"Pro Tour Promos",pro,"Nyktos, Santuario de Nyx","Nykthos, Shrine to Nyx",1,NM,EN,S,L,,15,
"Quarta Edição","Fourth Edition",4e,"Imposto Territorial","Land Tax",1,NM,EN,R,W,,182,
"Ravnica Remasterizada","Ravnica Remastered",rvr,"Alfinetada nos Criticos","Skewer the Critics",4,NM,EN,C,R,,124,
"Renascer de Zendikar","Zendikar Rising",znr,"Vortice Turbilhonante","Roiling Vortex",4,NM,EN,R,R,,156,
"Renascer de Zendikar (Variantes)","Zendikar Rising (Variants)",cbznr,"Anjo do Destino","Angel of Destiny",1,NM,PT,M,W,,314,
"Renascer de Zendikar Commander","Zendikar Rising Commander",znc,"Pastora de Emeria","Emeria Shepherd",1,NM,PT,R,W,,16,
"Retorno a Ravnica","Return to Ravnica",rtr,"Anjo da Serenidade","Angel of Serenity",1,NM,PT,M,W,,1,
"Retorno de Avacyn","Avacyn Restored",avr,"Anjo do Jubilo","Angel of Jubilation",1,NM,PT,R,W,,2,
"Retorno de Avacyn","Avacyn Restored",avr,"Caverna das Almas","Cavern of Souls",1,NM,PT,R,L,,226,
